开场,
Jasmine,金蛇狂舞辞旧去     Jīn shé kuáng wǔ cí jiù qù
,骏马扬蹄踏岁来     Jùn mǎ yáng tí tà suì lái
Esther,"瑞气临门春作序     Ruì qì lín mén chūn zuò xù     ,"
,祥云入户福登台     Xiáng yún rù hù fú dēng tái
Amy,四海同胞齐欢聚     Sì hǎi tóng bāo qí huān jù
,里城华人共开怀     Lǐ chéng huá rén gòng kāi huái
Chris,女士们，先生们，小朋友们， 大家~~
all,过~~年~~好~~!!!
one by one,我是主持人 1，2，3 ….8
Jason,欢迎来到由美华协会 维中分会 主办的 里士满 2026 马年 春节联欢会!  
Evan,"Ladies and Gentlemen, Welcome to the Richmond 2026 Year of the Horse  Lunar New Year Celebration, hosted by the OCA Asian Pacific American Advocates, Central Virginia Chapter, OCA-CVC."
多多,"On behalf of the OCA-CVC, we wish everyone a Happy Spring Festival and a prosperous Year of the Horse!"
Emeline,"美华协会 维中分会，是一个501(c)非盈利组织，致力于改善华裔和其他亚太裔美国人的生活。
爆竹声声辞旧岁，竹报平安又一年。
我们代表美华协会 维中分会 祝大家新春快乐，马年吉祥！在这里给您～～"
all ,拜~~年~~啦~~!!!
,
节目 ,#1 合唱 《世界赠予我的》CVCS
Jasmine,在这辞旧迎新的美好时刻，我们用歌声传递祝福，用舞蹈表达喜悦，用真情共庆新春佳节！
Chris,"At this wonderful moment, we convey our blessings through song, express our joy through dance, and celebrate the Spring Festival together with heartfelt sincerity."
Jasmine,"这首歌，在过去一年荣获多项年度大奖，以动人的旋律打动了无数人心。
让我们倾听 维中中文学校 带来的歌曲 《世界赠予我的》。"
Chris,"Please welcome the CVCS Central Virginia Chinese School Choir performing "" World Bestowed."""
,
,#2 霓裳焰语 Neon Flame Whisper
Esther,下面登场的是 Julianne Woo， 她带来了舞蹈《霓裳焰语》。用舞姿点燃舞台， 热烈与优雅同时绽放。
多多,Next enjoy dance: 'Neon Flame Whisper'，performed by Julianne Woo 
,
,#3 独唱《梅花赋》Ode to the Plum Blossom
Amy,"疏影横斜水清浅 暗香浮动月黄昏    梅花，傲雪凌霜，与松、竹并称“岁寒三友"""
Evan,是的，梅，兰、竹、菊并为“花中四君子”，尽显高洁风骨。
Amy,请欣赏 Qian Junqi 带来的独唱《梅花赋》。 
Evan,"The plum blossom, one of the “Three Friends of Winter,” symbolizes noble character and steadfast friendship.
Please enjoy Qian Junqi’s new rendition of “Ode to the Plum Blossom.” "
,
,#4   风  The Wind
Emeline,"风，看不见，却无处不在；风，无形，却能撼动人心。
"
Chris,接下来，Richmond Folk Dance Group 将用舞蹈描绘风的形态与力量。
Emeline,"The wind is invisible, yet it is everywhere;
Next, the Richmond Folk Dance Group will use dance to depict the form and power of the wind."
,
,#5 明天会更好
Jasmine,"多多, 有没有这样一首中文歌，能够穿越时间，依然打动人心？"
多多,有，它经久不衰，用美好的旋律传递希望。
Jesmine,请欣赏二重唱  《明天会更好》，表演者：Sun Yue & Abing。
多多,"Please enjoy the duet "" Tomorrow Will Be Better,""  performed by Sun Yue & Abing."
,
,#6 故园游春
Esther,"故园的春天，鸟语花香，光影流转。
请欣赏由Jìn Xiǎo hóng带来的独舞《故园游春》"
Evan,"Next, please enjoy a solo dance performanced by Jin Xiaohong ，Strolling through a garden of memories."
,
,#7 粤语独唱 “上海滩”
Jason,让歌声带我们穿越时光，重温上海滩的辉煌与传奇！有请 Li Ying  演唱 经典粤语歌曲 《上海滩》。
Chris,"Enjoy Li Ying performing the classic “Shanghai Bund,”
and let her voice carry you to the romance and glamour of old Shanghai."
,
,#8   红豆  Yearning
Jasmine,Amy，你知道吗？中国人的情感表达，其实特别含蓄。 
Amy,正如王维的诗：红豆生南国，春来发几枝？愿君多采撷，此物最相思。
Jasmine,接下来，请欣赏敦煌艺术团带来的舞蹈 《红豆》。
Amy,"In Chinese culture, red beans symbolize deep longing and yearning. Now, please enjoy the dance ""Red Bean"" performed by the Dunhuang Art Troupe."
,
,# 9 街舞《主场全开》Take it to the house 
Emeline,"少年舞者用律动 和爆发动作 点燃节拍，宣告：哪里都是我们的主场！
"
多多,"请欣赏 Yu Dance Arts 带来的街舞作品 《主场全开》
准备好了吗？一起把氛围带回家！"
Emeline,"Get ready! Take It to the House by Yu Dance Arts，sharp moves, perfect sync, pure energy.  This is their house!"
,
,"#10 ""500 Miles"" by GuZheng and Guitar"
Amy,"当东方的古筝遇见西方的吉他，会迸发出怎样的音符火花？
"
Jason,让我们 随着 East Meet West 的弹唱，踏上《500英里路》的音乐旅程。
Amy,"What kind of musical sparks will fly when the Eastern guzheng meets the Western guitar?
Join East Meet West on a musical journey along ""500 Miles."""
,
,"#11 《露华浓·花想容》
Grace of Blossoms • Radiance of Dew"
Esther,云想衣裳花想容，春风拂槛露华浓。Jason， 你知道这是哪位唐代诗人的诗吗
Jason,唐代诗人，我就只知道两个，李白和杜甫，我猜这是李白的诗
Esther,恭喜你，猜对了！接下来的表演是舞蹈《露华浓，花想容》，灵感来源于这首诗，由Zeng’s Dance School呈献。
Jason,"The next performance is a dance piece titled ""Grace of Blossoms • Radiance of Dew"" ，presented by Zeng's Dance School."
,
,中场 休息
Jasmine,春节联欢会上半场节目到此结束，感谢您的观看！请稍作休息，1:00锁定现场，下半场更多精彩，不见不散。
Evan,The first half of the Spring Festival Gala has concluded. Thank you for watching. Please take a short break and join us at 1:00 pm for the exciting second half!  See you then!
,
,
,
,
,11 minutes
